chr,start,end,length,abs_summit,pileup,separation,fold_enrichment,-LOG10(qvalue),name
1,202660839,202661085,247,202660900,15.5,24707308,6.71463,6.7643,p28_peak_158
1,205091045,205091673,629,205091309,70.04,2429960,14.20821,55.04103,p28_peak_159
1,223671700,223672015,316,223671821,18.37,18580027,7.43482,9.18538,p28_peak_170
1,224517616,224518294,679,224517990,79.23,845601,7.29334,37.63552,p28_peak_171
1,225266311,225266776,466,225266544,62.58,748017,25.61549,71.09245,p28_peak_172
1,231664002,231664406,405,231664239,60.86,6397226,6.87282,26.80641,p28_peak_176
1,243691015,243691423,409,243691238,22.96,12026609,7.98809,11.57604,p28_peak_182
2,207056,207580,525,207243,17.22,0,7.41548,8.81573,p28_peak_627
2,1217705,1218599,895,1218377,75.21,1010125,12.70133,54.44835,p28_peak_628
2,1870203,1870739,537,1870509,26.98,651604,11.387,19.2118,p28_peak_630
2,2299184,2299674,491,2299502,56.84,428445,7.22957,26.2115,p28_peak_631
2,3072169,3072543,375,3072348,20.09,772495,8.58358,12.10083,p28_peak_632
2,11701721,11702037,317,11701863,20.09,8629178,6.54475,8.718,p28_peak_633
2,38315741,38316152,412,38315957,39.61,26613704,10.15334,24.92702,p28_peak_655
2,42588331,42588693,363,42588537,75.21,4272179,6.4213,31.81669,p28_peak_660
2,55459392,55460016,625,55459682,46.5,12870699,9.59262,27.78055,p28_peak_670
2,68384599,68385007,409,68384812,81.52,12924583,7.10121,37.58098,p28_peak_673
2,70314172,70314571,400,70314384,74.63,1929165,10.1905,45.89627,p28_peak_676
2,84686362,84686740,379,84686508,75.78,14371791,6.46968,31.81669,p28_peak_681
2,88480562,88481232,671,88480846,74.06,3793822,30.54372,91.37238,p28_peak_687
2,91984500,91984750,251,91984652,17.8,3503268,7.28352,8.26702,p28_peak_689
2,140097228,140097595,368,140097420,14.93,48112478,6.48101,5.7697,p28_peak_713
2,143663487,143663886,400,143663704,19.52,3565892,8.34996,10.98964,p28_peak_714
2,149381440,149381768,329,149381559,19.52,5717554,8.34996,10.98964,p28_peak_715
2,151330328,151330699,372,151330474,13.78,1948560,6.01377,4.82751,p28_peak_719
2,151333938,151334205,268,151334097,14.93,3239,6.48101,5.7697,p28_peak_722
2,155433529,155433975,447,155433762,56.84,4099324,11.56732,38.46606,p28_peak_726
2,155511318,155511733,416,155511539,34.45,77343,11.81547,25.14696,p28_peak_727
2,181350237,181350485,249,181350278,18.95,25838504,6.64851,7.62287,p28_peak_737
2,190044024,190044369,346,190044138,14.93,8693539,6.48101,5.7697,p28_peak_739
2,190607479,190607882,404,190607677,23.54,563110,6.1346,8.94026,p28_peak_740
2,191231053,191231376,324,191231291,13.78,623171,6.01377,4.82751,p28_peak_742
2,198238619,198238997,379,198238793,21.82,7007243,7.92995,11.0841,p28_peak_746
2,199142141,199142596,456,199142369,66.6,903144,16.8991,57.97102,p28_peak_747
2,214272325,214272611,287,214272480,15.5,15129729,6.71463,6.7643,p28_peak_753
2,217535626,217536903,1278,217536723,32.15,3263015,8.36276,17.65132,p28_peak_756
2,223197330,223197765,436,223197560,40.76,5660427,16.99384,37.91177,p28_peak_775
2,223520789,223521206,418,223521006,52.24,323024,7.60625,25.74417,p28_peak_776
2,231921231,231921661,431,231921448,89.56,8400025,6.03738,35.56875,p28_peak_779
2,238465499,238465829,331,238465720,14.93,6543838,6.41691,5.70237,p28_peak_783
3,5281040,5281360,321,5281220,24.69,0,7.96978,12.65364,p28_peak_840
3,19350014,19350420,407,19350215,36.74,14068654,15.35851,32.31831,p28_peak_845
3,38125746,38126186,441,38125992,57.98,18775326,11.79696,39.60032,p28_peak_853
3,38534070,38534509,440,38534280,40.76,407884,15.30289,35.06235,p28_peak_854
3,73277151,73277427,277,73277271,13.78,34742642,6.01377,4.82751,p28_peak_870
3,79897802,79898173,372,79898023,22.96,6620375,9.65523,14.25339,p28_peak_871
3,83518803,83519071,269,83518962,14.35,3620630,6.24739,5.7697,p28_peak_872
3,84547591,84547981,391,84547796,25.26,1028520,10.68614,17.97865,p28_peak_873
3,96391985,96392377,393,96392203,17.22,11844004,7.41548,8.81573,p28_peak_875
3,99574775,99575192,418,99574982,21.24,3182398,9.05081,13.23884,p28_peak_876
3,99834236,99834649,414,99834458,27.56,259044,11.62062,20.45996,p28_peak_878
3,109836455,109836726,272,109836574,26.41,10001806,6.85223,11.66067,p28_peak_880
3,114173730,114174090,361,114173935,16.07,4337004,6.94824,7.77419,p28_peak_886
3,115079519,115079929,411,115079737,30.43,905429,10.47589,20.37895,p28_peak_888
3,123337688,123338417,730,123337822,14.93,8257759,6.48101,5.7697,p28_peak_893
3,126827624,126828041,418,126827813,24.69,3489207,10.45252,16.76319,p28_peak_901
3,136420767,136421173,407,136420969,24.69,9592726,8.5602,13.66823,p28_peak_906
3,140208692,140209117,426,140208925,34.45,3787519,14.28139,29.35838,p28_peak_907
3,148692229,148692484,256,148692279,31,8483112,8.00044,16.48767,p28_peak_912
3,158545537,158545946,410,158545752,37.32,9853053,15.59213,33.70234,p28_peak_916
3,174728880,174729129,250,174729084,14.35,16182934,6.24739,5.7697,p28_peak_924
3,194366070,194366510,441,194366294,36.74,19636941,9.43571,21.67278,p28_peak_931
3,197676699,197677210,512,197676922,55.69,3310189,7.08605,25.33181,p28_peak_932
4,1953041,1953428,388,1953243,29.85,0,7.71339,14.50047,p28_peak_933
4,2245461,2245855,395,2245663,29.28,292033,6.57363,12.44334,p28_peak_934
4,3727853,3728281,429,3728050,24.11,1481998,8.7281,14.28846,p28_peak_935
4,8577522,8577891,370,8577724,17.8,4849241,7.08023,7.9511,p28_peak_938
4,11157586,11158006,421,11157790,26.41,2579695,11.15338,19.2118,p28_peak_940
4,21305502,21305901,400,21305727,19.52,10147496,6.83988,8.57342,p28_peak_947
4,54652592,54653030,439,54652762,14.93,33346691,6.48101,5.7697,p28_peak_954
4,55144226,55144472,247,55144450,18.37,491196,6.45714,7.62287,p28_peak_955
4,72096044,72096322,279,72096126,14.35,16951572,6.24739,5.7697,p28_peak_956
4,77046759,77047036,278,77046915,16.07,4950437,6.61616,7.26601,p28_peak_957
4,80321677,80322009,333,80321862,19.52,3274641,8.34996,10.98964,p28_peak_962
4,106819290,106819560,271,106819482,23.54,26497281,9.98529,15.57042,p28_peak_964
4,107237103,107237709,607,107237532,70.62,417543,11.5751,47.68603,p28_peak_965
4,109882667,109882913,247,109882793,13.78,2644958,6.01377,4.82751,p28_peak_966
4,114383274,114383685,412,114383481,26.41,4500361,6.85223,11.66067,p28_peak_968
4,114966662,114967015,354,114966828,14.93,582977,6.48101,5.7697,p28_peak_969
4,129474004,129474535,532,129474215,16.65,14506989,7.18186,7.77419,p28_peak_975
4,138451178,138451615,438,138451449,14.35,8976643,6.24739,5.7697,p28_peak_976
4,141731865,141732345,481,141732082,31,3280250,12.89354,25.39704,p28_peak_980
4,168377274,168377667,394,168377475,20.09,26644929,8.58358,12.10083,p28_peak_981
4,188158138,188158459,322,188158283,13.78,19780471,6.01377,4.82751,p28_peak_987
4,188524930,188525310,381,188525106,18.37,366471,7.57851,9.41928,p28_peak_988
5,5422437,5422853,417,5422611,102.77,0,7.11451,47.42999,p28_peak_989
5,10545248,10545641,394,10545446,26.98,5122395,8.8866,15.0804,p28_peak_992
5,11816716,11817601,886,11817365,47.08,1271075,19.56365,48.139,p28_peak_995
5,12834895,12835329,435,12835109,37.89,1017294,15.82575,33.70234,p28_peak_997
5,13349566,13349814,249,13349625,16.07,514237,6.94824,7.77419,p28_peak_998
5,14157453,14157899,447,14157675,41.34,807639,13.23694,32.32795,p28_peak_1000
5,38832074,38832413,340,38832213,14.93,24674175,6.48101,5.7697,p28_peak_1004
5,59955941,59956190,250,59956096,14.35,21123528,6.24739,5.7697,p28_peak_1011
5,71895522,71896254,733,71896158,14.35,11939332,6.24739,5.7697,p28_peak_1015
5,92917358,92917756,399,92917499,44.21,21021104,7.02615,20.26265,p28_peak_1021
5,100013775,100014053,279,100013983,16.65,7096019,7.18186,7.77419,p28_peak_1027
5,109444235,109444617,383,109444414,17.22,9430182,6.67761,7.66769,p28_peak_1029
5,109956158,109956485,328,109956342,17.8,511541,7.6491,8.81573,p28_peak_1030
5,132019417,132019683,267,132019486,29.85,22062932,10.28452,19.2118,p28_peak_1034
5,142328580,142328988,409,142328803,19.52,10308897,8.34996,10.98964,p28_peak_1039
5,146639548,146639982,435,146639737,24.69,4310560,10.45252,16.76319,p28_peak_1041
5,147144343,147144738,396,147144553,29.85,504361,7.71339,14.50047,p28_peak_1042
5,155871064,155871343,280,155871156,18.37,8726326,7.88272,9.88672,p28_peak_1051
5,170016558,170016978,421,170016778,29.28,14145215,12.32147,23.00029,p28_peak_1052
5,172881693,172882025,333,172881839,14.93,2864715,6.48101,5.7697,p28_peak_1054
5,173197680,173198014,335,173197823,18.95,315655,8.11634,9.88672,p28_peak_1057
6,468888,469727,840,469129,48.22,0,16.40833,43.25882,p28_peak_1059
6,1185570,1185981,412,1185771,21.82,715843,9.28443,13.23884,p28_peak_1060
6,2468514,2468872,359,2468690,15.5,1282533,6.71463,6.7643,p28_peak_1062
6,5261425,5261850,426,5261635,101.62,2792553,6.29011,42.08169,p28_peak_1064
6,10694830,10695220,391,10695055,63.73,5432980,9.34265,36.67767,p28_peak_1067
6,11037209,11037498,290,11037413,20.09,341989,6.54475,8.718,p28_peak_1068
6,23620322,23620569,248,23620467,14.35,12582824,6.24739,5.7697,p28_peak_1071
6,27446452,27446826,375,27446640,17.8,3825883,7.6491,8.81573,p28_peak_1079
6,27870115,27870547,433,27870325,33.87,423289,12.44062,25.34723,p28_peak_1082
6,28180737,28181006,270,28180853,17.8,310190,7.42566,8.49072,p28_peak_1083
6,28848937,28849288,352,28849061,13.78,667931,6.01377,4.82751,p28_peak_1084
6,31357505,31357922,418,31357724,28.71,2508217,9.90178,18.068,p28_peak_1088
6,31509278,31510191,914,31510010,65.45,151356,7.38313,31.19694,p28_peak_1089
6,31620476,31620865,390,31620650,64.87,110285,6.58741,27.48143,p28_peak_1090
6,32996640,32996886,247,32996818,14.35,1375775,6.24739,5.7697,p28_peak_1092
6,42230120,42230511,392,42230303,31,9233234,9.09296,18.64097,p28_peak_1094
6,56716075,56716570,496,56716170,13.78,14485564,6.01377,4.82751,p28_peak_1100
6,72313518,72313785,268,72313594,17.22,15596948,7.41548,8.81573,p28_peak_1103
6,85874674,85875074,401,85874863,18.37,13560889,7.80476,9.77838,p28_peak_1106
6,94374268,94374678,411,94374474,26.98,8499194,11.387,19.2118,p28_peak_1107
6,106546278,106546569,292,106546451,14.35,12171600,6.24739,5.7697,p28_peak_1109
6,114251725,114252138,414,114251937,28.71,7705156,12.08785,21.72068,p28_peak_1117
6,132443458,132443713,256,132443644,13.78,18191320,6.01377,4.82751,p28_peak_1123
6,146171291,146171713,423,146171513,39.61,13727578,15.88881,35.43235,p28_peak_1134
6,148111731,148112023,293,148111930,22.39,1940018,9.42392,14.25339,p28_peak_1135
6,149031610,149032042,433,149031828,21.82,919587,9.28443,13.23884,p28_peak_1136
6,152171389,152171766,378,152171580,17.22,3139347,7.41548,8.81573,p28_peak_1138
6,154235473,154235910,438,154235702,45.93,2063707,19.09641,45.17023,p28_peak_1140
6,170367690,170368097,408,170367868,13.78,16131780,6.01377,4.82751,p28_peak_1146
6,170489097,170489532,436,170489312,38.47,121000,15.59025,34.30698,p28_peak_1147
6,170802296,170802694,399,170802514,25.26,312764,10.58046,17.81497,p28_peak_1148
7,10979680,10980113,434,10979955,81.52,0,8.13918,42.19811,p28_peak_1149
7,22626477,22626931,455,22626715,48.22,11646364,20.03089,49.62653,p28_peak_1150
7,25002004,25002304,301,25002094,28.71,2375073,7.42634,13.54286,p28_peak_1152
7,26509369,26509769,401,26509582,19.52,1507065,8.34996,10.98964,p28_peak_1153
7,28682434,28682817,384,28682627,18.95,2172665,8.11634,9.88672,p28_peak_1155
7,30560241,30560721,481,30560509,24.69,1877424,10.45252,16.76319,p28_peak_1157
7,31833487,31833912,426,31833682,31.58,1272766,8.14397,16.48767,p28_peak_1158
7,32337446,32337864,419,32337641,22.96,503534,9.75167,14.39241,p28_peak_1159
7,65564006,65564487,482,65564246,33.3,33226142,7.65124,16.58439,p28_peak_1164
7,71262878,71263333,456,71263110,53.97,5698391,22.36707,57.25279,p28_peak_1165
7,90524511,90524960,450,90524729,34.45,19261178,14.42404,29.5909,p28_peak_1169
7,92861261,92861781,521,92861504,29.28,2336301,8.72607,16.74529,p28_peak_1171
7,94040085,94040384,300,94040215,16.07,1178304,6.94824,7.77419,p28_peak_1175
7,98778359,98778815,457,98778472,27.56,4737975,7.13928,12.59418,p28_peak_1178
7,103413638,103414006,369,103413865,24.69,4634823,10.45252,16.76319,p28_peak_1181
7,112880062,112880424,363,112880231,29.28,9466056,12.32147,23.00029,p28_peak_1188
7,119206766,119207069,304,119206940,16.65,6326342,7.18186,7.77419,p28_peak_1194
7,131816985,131817429,445,131817209,56.84,12609916,23.53516,61.93523,p28_peak_1196
7,134464190,134464795,606,134464658,13.78,2646761,6.01377,4.82751,p28_peak_1197
7,135242382,135242869,488,135242553,61.43,777587,15.60736,51.39985,p28_peak_1198
7,141431382,141431834,453,141431615,28.71,6188513,12.08785,21.72068,p28_peak_1201
7,156374657,156375079,423,156374864,38.47,14942823,14.4614,32.38243,p28_peak_1206
7,156923587,156924017,431,156923806,43.06,548508,15.71761,38.3975,p28_peak_1207
7,157253805,157254489,685,157254196,180.84,329788,45.46092,237.00592,p28_peak_1208
7,157301785,157302132,348,157301958,15.5,47296,6.71463,6.7643,p28_peak_1209
8,3569740,3570167,428,3569964,44.21,0,7.53437,21.66849,p28_peak_1212
8,18346526,18346856,331,18346716,16.65,14776359,7.18186,7.77419,p28_peak_1217
8,22253765,22254265,501,22254021,105.64,3906909,25.17545,110.818,p28_peak_1220
8,22853874,22854261,388,22854078,36.17,599609,7.43375,17.59003,p28_peak_1221
8,32983438,32983808,371,32983640,39.61,10129177,10.15334,24.92702,p28_peak_1223
8,65063270,65063673,404,65063464,24.69,32079462,10.45252,16.76319,p28_peak_1227
8,68888689,68889059,371,68888876,20.09,3825016,8.58358,12.10083,p28_peak_1229
8,83874694,83875049,356,83874854,16.07,14985635,6.94824,7.77419,p28_peak_1231
8,131082985,131083469,485,131083227,41.91,47207936,17.2884,39.06036,p28_peak_1242
8,142213275,142213673,399,142213501,33.3,11129806,8.00406,17.33432,p28_peak_1247
8,144119709,144120161,453,144119935,86.12,1906036,17.59209,75.94315,p28_peak_1248
9,8086705,8087119,415,8086925,37.89,0,15.66924,33.44895,p28_peak_1252
9,28355131,28355515,385,28355299,22.96,20268012,9.2856,13.66823,p28_peak_1255
9,78334615,78334956,342,78334811,17.22,49979100,6.0744,6.68868,p28_peak_1259
9,78655068,78655525,458,78655308,49.37,320112,20.49812,51.13098,p28_peak_1260
9,87879519,87880289,771,87880100,58.56,9223994,24.23602,65.1096,p28_peak_1262
9,96698727,96699193,467,96698952,50.52,8818438,20.96536,52.65117,p28_peak_1267
9,124040833,124041395,563,124040984,14.93,27341640,6.05535,5.15932,p28_peak_1286
9,136249393,136249664,272,136249455,24.69,12207998,6.42165,9.83757,p28_peak_1291
9,136428796,136429894,1099,136429551,78.65,179132,26.989,88.50182,p28_peak_1292
9,138618707,138619278,572,138619131,17.22,2188813,6.0744,6.68868,p28_peak_1293
10,3512891,3513269,379,3513098,33.3,0,9.88421,21.09292,p28_peak_185
10,6509109,6509549,441,6509326,35.59,2995840,14.89128,30.94725,p28_peak_187
10,6682459,6682891,433,6682679,36.17,172910,15.12489,32.31831,p28_peak_188
10,10526034,10526288,255,10526105,14.35,3843143,6.24739,5.7697,p28_peak_190
10,17009483,17010063,581,17009866,16.65,6483195,7.18186,7.77419,p28_peak_193
10,17685673,17686225,553,17686020,79.8,675610,10.53604,50.02362,p28_peak_196
10,18647430,18647677,248,18647485,17.22,961205,6.0744,6.68868,p28_peak_197
10,35720214,35720574,361,35720380,18.95,17072537,8.11634,9.88672,p28_peak_202
10,45260946,45261393,448,45261021,14.35,9540372,6.24739,5.7697,p28_peak_203
10,70939604,70940153,550,70939850,76.93,25678211,14.30964,59.2502,p28_peak_219
10,91043495,91044059,565,91043868,13.78,20103342,6.01377,4.82751,p28_peak_228
10,106155984,106156379,396,106156191,32.72,15111925,13.72318,26.90819,p28_peak_235
10,106239430,106239813,384,106239615,20.67,83051,8.81719,12.10083,p28_peak_236
10,114847003,114847389,387,114847215,17.22,8607190,6.67761,7.66769,p28_peak_239
10,114876960,114877394,435,114877182,40.19,29571,16.76023,37.91177,p28_peak_240
10,116686692,116687032,341,116686881,14.93,1809298,6.48101,5.7697,p28_peak_241
10,125332016,125332405,390,125332211,24.69,8644984,10.45252,16.76319,p28_peak_243
10,126787059,126787544,486,126787298,72.34,1454654,24.44582,78.3425,p28_peak_245
10,132158405,132159076,672,132158737,102.77,5370861,42.22465,140.88618,p28_peak_247
10,132202550,132202904,355,132202706,16.07,43474,6.94824,7.77419,p28_peak_248
10,133986455,133986740,286,133986530,20.67,1783551,8.81719,12.10083,p28_peak_249
11,9696697,9697138,442,9696918,50.52,0,20.75802,52.3016,p28_peak_257
11,11267929,11268749,821,11268282,156.16,1570791,26.19285,163.42194,p28_peak_263
11,12790810,12791417,608,12791196,14.35,1522061,6.24739,5.7697,p28_peak_271
11,22337764,22338364,601,22337987,16.07,9546347,6.94824,7.77419,p28_peak_278
11,26101302,26101692,391,26101515,14.93,3762938,6.48101,5.7697,p28_peak_279
11,29746090,29746484,395,29746247,21.24,3644398,9.05081,13.23884,p28_peak_282
11,41302445,41302839,395,41302635,18.37,11555961,7.88272,9.88672,p28_peak_291
11,65267865,65268318,454,65268077,22.39,23965026,6.0904,8.54893,p28_peak_299
11,66206221,66206641,421,66206441,74.63,937903,7.84177,37.33941,p28_peak_304
11,83617286,83617535,250,83617337,16.65,17410645,7.18186,7.77419,p28_peak_311
11,87825336,87825763,428,87825565,35.59,4207801,14.89128,30.94725,p28_peak_313
11,107460928,107461346,419,107461130,29.85,19635165,9.42842,17.71741,p28_peak_321
11,108781455,108781702,248,108781522,13.78,1320109,6.01377,4.82751,p28_peak_322
11,113569768,113570203,436,113569997,44.21,4788066,18.39556,43.70098,p28_peak_326
11,116001420,116001829,410,116001627,26.98,2431217,11.387,19.2118,p28_peak_327
11,116809097,116809536,440,116809339,21.24,807268,7.93477,11.43064,p28_peak_328
11,118272007,118272375,369,118272168,67.17,1462471,6.26567,27.71511,p28_peak_329
11,119614538,119614967,430,119614769,52.82,1342163,19.37008,51.34157,p28_peak_330
11,121636215,121636654,440,121636434,52.24,2021248,21.66622,55.70861,p28_peak_331
11,123037198,123037450,253,123037326,16.07,1400544,6.4315,6.96845,p28_peak_337
11,131503432,131503851,420,131503657,28.71,8465982,12.08785,21.72068,p28_peak_344
12,46518999,46519350,352,46519195,20.09,0,8.58358,12.10083,p28_peak_361
12,46751241,46751932,692,46751534,16.65,231891,7.18186,7.77419,p28_peak_362
12,50528787,50529178,392,50528971,31.58,3776855,12.2701,23.96987,p28_peak_364
12,50987319,50987726,408,50987522,20.67,458141,7.22093,9.55088,p28_peak_365
12,59251875,59252199,325,59252072,14.35,8264149,6.24739,5.7697,p28_peak_369
12,86153231,86153633,403,86153434,24.69,26901032,10.45252,16.76319,p28_peak_379
12,86770403,86770803,401,86770619,26.98,616770,6.99576,11.66067,p28_peak_380
12,96230607,96231435,829,96231266,27.56,9459804,11.62062,20.45996,p28_peak_384
12,98442572,98443005,434,98442792,39.04,2211137,16.29299,36.49769,p28_peak_385
12,110824861,110825398,538,110825096,98.75,12381856,24.9366,103.53754,p28_peak_392
12,110841443,110842120,678,110841746,48.8,16045,8.74743,26.65842,p28_peak_393
12,115312218,115312474,257,115312287,21.24,4470098,8.15022,11.78454,p28_peak_395
12,119195310,119195774,465,119195540,78.65,3882836,32.41267,98.22825,p28_peak_397
12,119597891,119598302,412,119598113,18.95,402117,8.11634,9.88672,p28_peak_398
12,124577246,124578060,815,124577662,87.26,4978944,18.75967,79.59988,p28_peak_399
12,128052901,128053755,855,128053403,36.17,3474841,15.12489,32.31831,p28_peak_403
12,132953504,132955037,1534,132954513,17.22,4899749,7.41548,8.81573,p28_peak_404
13,27825344,27825790,447,27825576,66.02,0,6.09294,26.61721,p28_peak_406
13,28157158,28157575,418,28157373,38.47,331368,13.15506,30.0932,p28_peak_407
13,37663857,37664274,418,37664076,26.98,9506282,9.32768,15.83402,p28_peak_412
13,38923577,38924076,500,38923833,51.1,1259303,11.68585,35.89574,p28_peak_413
13,39387605,39387851,247,39387664,15.5,463529,6.71463,6.7643,p28_peak_414
13,49228231,49228658,428,49228451,34.45,9840380,14.42404,29.5909,p28_peak_418
13,49635757,49636003,247,49635909,17.8,407099,6.26577,6.68868,p28_peak_419
13,73009541,73009952,412,73009740,28.71,23373538,9.90178,18.068,p28_peak_420
13,90966593,90966880,288,90966758,25.83,17956641,8.32604,13.68169,p28_peak_421
13,97784441,97784866,426,97784641,22.39,6817561,9.51805,14.39241,p28_peak_423
13,97975010,97975467,458,97975272,13.78,190144,6.01377,4.82751,p28_peak_424
13,101103926,101104448,523,101104213,31.58,3128459,11.72469,23.03864,p28_peak_427
13,111491276,111491722,447,111491508,35.59,10386828,14.89128,30.94725,p28_peak_434
13,114211939,114212332,394,114212145,26.98,2720217,8.55122,14.49587,p28_peak_437
14,55145010,55145426,417,55145222,37.32,0,7.66339,18.53557,p28_peak_443
14,59883800,59884173,374,59883993,25.83,4738374,10.01448,16.52469,p28_peak_445
14,63862092,63862504,413,63862285,21.82,3977919,7.7961,10.86486,p28_peak_450
14,66077909,66078195,287,66077994,35.59,2215405,9.84521,21.99089,p28_peak_451
14,71472660,71473067,408,71472875,26.41,5394465,9.20999,15.96314,p28_peak_458
14,77030951,77031360,410,77031143,35.59,5557884,14.89128,30.94725,p28_peak_460
14,78549129,78549571,443,78549360,55.69,1517769,23.06793,60.36799,p28_peak_462
14,81195246,81195678,433,81195456,25.26,2645675,8.75357,14.73543,p28_peak_464
14,84864321,84864811,491,84864566,65.45,3668643,16.61205,56.64788,p28_peak_465
14,96394086,96394643,558,96394254,18.37,11529275,7.88272,9.88672,p28_peak_469
14,101091085,101091489,405,101091300,22.96,4696442,9.75167,14.39241,p28_peak_472
14,106874874,106875296,423,106875089,32.15,5783385,13.48956,26.90819,p28_peak_474
15,30917685,30918302,618,30918142,67.74,0,7.12749,31.03947,p28_peak_477
15,32172278,32172687,410,32172491,19.52,1253976,8.34996,10.98964,p28_peak_478
15,44580416,44580831,416,44580675,53.97,12407729,6.17319,21.17745,p28_peak_486
15,45753853,45754315,463,45754093,56.84,1173022,18.22428,52.50724,p28_peak_488
15,70742033,70742377,345,70742173,21.24,24987718,8.45637,12.27872,p28_peak_498
15,75532250,75532597,348,75532427,27.56,4789873,7.13928,12.59418,p28_peak_503
15,86439446,86440765,1320,86440251,73.49,10906849,30.3101,89.67558,p28_peak_513
15,89868181,89868531,351,89868410,25.83,3427416,6.7087,10.73652,p28_peak_514
15,94842018,94842382,365,94842209,15.5,4973487,6.71463,6.7643,p28_peak_515
15,96085415,96085663,249,96085594,16.07,1243033,6.94824,7.77419,p28_peak_516
16,964540,964855,316,964657,26.41,0,6.62547,11.2123,p28_peak_519
16,6264482,6265021,540,6264723,14.93,5299627,6.48101,5.7697,p28_peak_521
16,16543120,16543529,410,16543321,25.83,10278099,10.91976,17.97865,p28_peak_524
16,27150288,27150561,274,27150481,29.28,10606759,7.56986,14.50047,p28_peak_526
16,61802119,61802472,354,61802289,20.09,34651558,8.58358,12.10083,p28_peak_530
16,72916717,72917162,446,72916940,28.71,11114245,9.90178,18.068,p28_peak_539
16,87236450,87236831,382,87236654,28.13,14319288,8.16276,15.25264,p28_peak_541
17,5061729,5062125,397,5061936,26.98,0,9.32768,15.83402,p28_peak_543
17,6385158,6385574,417,6385378,36.74,1323033,11.80091,26.20098,p28_peak_544
17,19091219,19091599,381,19091382,43.06,12705645,6.84769,19.36059,p28_peak_548
17,37637886,37638146,261,37637951,33.87,18546287,6.67579,14.13348,p28_peak_551
17,39420579,39420966,388,39420765,15.5,1782433,6.51848,6.47504,p28_peak_552
17,41438347,41438762,416,41438533,34.45,2017381,6.22632,13.66466,p28_peak_553
17,59399984,59400407,424,59400217,31,17961222,8.00044,16.48767,p28_peak_562
17,62609661,62610020,360,62609851,24.11,3209254,7.08572,11.37805,p28_peak_563
17,63483888,63485062,1175,63484348,20.09,873868,8.58358,12.10083,p28_peak_565
17,64794670,64795546,877,64794932,75.21,1309608,7.6208,37.11099,p28_peak_566
17,65421157,65421428,272,65421368,25.26,625611,6.56518,10.73652,p28_peak_567
17,71143928,71144567,640,71144322,58.56,5722500,24.23602,65.1096,p28_peak_574
17,74963031,74963284,254,74963107,20.67,3818464,6.72288,8.718,p28_peak_578
17,77438125,77438565,441,77438353,59.13,2474841,22.03482,62.41928,p28_peak_579
18,8875171,8875571,401,8875391,22.39,0,9.51805,14.39241,p28_peak_588
18,22613348,22613978,631,22613663,114.25,13737777,38.41576,147.74748,p28_peak_591
18,45508931,45509310,380,45509089,24.11,22894953,10.21891,16.76319,p28_peak_593
18,60998340,60998751,412,60998551,27.56,15489030,9.51904,16.94058,p28_peak_598
