chromosome	start	end	width	peak.location	chip	peak.location.new	target.ensembl.id	target.gene.name	distance.to.gene	Huvec.cFos	Huvec.cFos.ChIP	Huvec.cJun	Huvec.cJun.ChIP	HUVEC_p65_TNF30.all	HUVEC_p65_TNF30.all.ChIP	HUVEC_p65_TNF30.with	HUVEC_p65_TNF30.with.ChIP	HUVEC_p65_TNF30.without	HUVEC_p65_TNF30.without.ChIP	hikackedEnhancers_hg18	hikackedEnhancers_hg18.ChIP
chr1	159676451	159680928	4478	159677636	112	159677636	ENSG00000208455	AL592295.25-2	-20351	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	121059854	121062525	2672	121061609	107	121061609	ENSG00000216725	AL592494.2	-98943	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	121179782	121182190	2409	121180176	104	121180176	ENSG00000216725	AL592494.2	-217510	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	153427525	153428556	1032	153428034	94	153428034	ENSG00000185499	MUC1	1296	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	121055564	121057016	1453	121056737	93	121056737	ENSG00000216725	AL592494.2	-94071	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	234326912	234327444	533	234327225	92	234327225	ENSG00000203673	AL122018.37	12744	TRUE	97	TRUE	191	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	121086934	121089464	2531	121087822	91	121087822	ENSG00000216725	AL592494.2	-125156	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	16811570	16813149	1580	16812476	88	16812476	ENSG00000179571	NBPF1	93	FALSE	NA	FALSE	NA	TRUE	42	TRUE	42	FALSE	NA	TRUE	29
chr1	44869889	44870672	784	44870329	87	44870329	ENSG00000213879	AL122004.17	16510	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	224063767	224064939	1173	224064552	82	224064552	ENSG00000143819	EPHX1	-93	FALSE	NA	FALSE	NA	TRUE	20	FALSE	NA	TRUE	20	FALSE	NA
chr1	18618	19776	1159	19038	81	19038	ENSG00000146556	AL627309.15-1	631	TRUE	31	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	16843348	16844066	719	16843851	77	16843851	ENSG00000186301	AL137798.8-1	-10	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	20832324	20833178	855	20832635	73	20832635	ENSG00000158828	PINK1	-100	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	33668497	33669563	1067	33669107	72	33669107	ENSG00000221225	AL138837.12	11192	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	110254634	110255593	960	110255187	72	110255187	ENSG00000184371	CSF1	-207	FALSE	NA	FALSE	NA	TRUE	77	TRUE	77	FALSE	NA	FALSE	NA
chr1	944480	946268	1789	945463	72	945463	ENSG00000188157	AGRN	-97	FALSE	NA	FALSE	NA	TRUE	74	TRUE	74	FALSE	NA	FALSE	NA
chr1	42273553	42274405	853	42274081	71	42274081	ENSG00000216933	RP1-21K4.1	4774	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	202387220	202388505	1286	202387802	71	202387802	ENSG00000143845	ETNK2	-48	TRUE	20	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	121057098	121058708	1611	121057833	70	121057833	ENSG00000216725	AL592494.2	-95167	FALSE	NA	FALSE	NA	TRUE	34	FALSE	NA	TRUE	34	TRUE	45
chr1	114854551	114855567	1017	114855250	70	114855250	ENSG00000197323	TRIM33	54	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	100276446	100277030	585	100276787	69	100276787	ENSG00000156875	HIAT1	-410	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	121068707	121071202	2496	121069013	69	121069013	ENSG00000216725	AL592494.2	-106347	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	36393978	36395483	1506	36394189	69	36394189	ENSG00000116871	MAP7D1	-36	TRUE	56	TRUE	23	TRUE	25	TRUE	25	FALSE	NA	TRUE	90
chr1	15608457	15609890	1434	15609156	67	15609156	ENSG00000142634	EFHD2	-136	FALSE	NA	FALSE	NA	TRUE	21	FALSE	NA	TRUE	21	FALSE	NA
chr1	43196223	43197402	1180	43196762	67	43196762	ENSG00000117394	SLC2A1	364	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	46906155	46906906	752	46906563	67	46906563	ENSG00000123472	ATPAF1	123	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	121160150	121160875	726	121160368	67	121160368	ENSG00000216725	AL592494.2	-197702	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	155281857	155282992	1136	155282132	67	155282132	ENSG00000132694	ARHGEF11	-346	FALSE	NA	FALSE	NA	TRUE	21	FALSE	NA	TRUE	21	FALSE	NA
chr1	62925960	62926985	1026	62926542	66	62926542	ENSG00000116641	DOCK7	15	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	85702757	85703780	1024	85703327	66	85703327	ENSG00000153904	DDAH1	84	FALSE	NA	FALSE	NA	TRUE	27	TRUE	27	FALSE	NA	FALSE	NA
chr1	230831658	230833233	1576	230832327	66	230832327	ENSG00000116991	SIPA1L2	-68400	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	6375253	6376632	1380	6375770	66	6375770	ENSG00000097021	ACOT7	643	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	21488828	21489804	977	21489414	66	21489414	ENSG00000117298	ECE1	55170	FALSE	NA	FALSE	NA	TRUE	22	TRUE	22	FALSE	NA	FALSE	NA
chr1	203915467	203916672	1206	203915897	66	203915897	ENSG00000158715	SLC45A3	356	TRUE	63	TRUE	24	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	923134	926252	3119	924461	65	924461	ENSG00000188290	HES4	872	FALSE	NA	TRUE	143	TRUE	26	TRUE	26	FALSE	NA	TRUE	116
chr1	143919966	143921708	1743	143920495	65	143920495	ENSG00000213240	NOTCH2NL	-33	TRUE	54	FALSE	NA	TRUE	32	TRUE	32	FALSE	NA	TRUE	56
chr1	11461225	11462362	1138	11461595	64	11461595	ENSG00000204624	PTCHD2	287	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	38243287	38244100	814	38243581	64	38243581	ENSG00000183386	FHL3	240	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	196392507	196393336	830	196392909	64	196392909	ENSG00000151414	NEK7	-165	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	36560375	36562068	1694	36561692	64	36561692	ENSG00000116883	AL591845.27-2	230	FALSE	NA	FALSE	NA	TRUE	21	FALSE	NA	TRUE	21	TRUE	25
chr1	43768830	43770219	1390	43769137	64	43769137	ENSG00000142949	PTPRF	-3	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	94475136	94476092	957	94475560	63	94475560	ENSG00000137962	ARHGAP29	335	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	232680418	232681757	1340	232680883	63	232680883	ENSG00000059588	TARBP1	589	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	160305793	160306929	1137	160306291	63	160306291	ENSG00000198929	NOS1AP	-86	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	16046387	16047948	1562	16047362	62	16047362	ENSG00000179743	AL450998.19	-133	FALSE	NA	FALSE	NA	TRUE	22	FALSE	NA	TRUE	22	TRUE	86
chr1	36168776	36169916	1141	36169221	62	36169221	ENSG00000126070	EIF2C3	-315	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	39343224	39344341	1118	39343415	62	39343415	ENSG00000206654	U6	15887	FALSE	NA	FALSE	NA	TRUE	23	TRUE	23	FALSE	NA	TRUE	113
chr1	39813846	39815783	1938	39814749	62	39814749	ENSG00000090621	PABPC4	300	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	94146881	94147993	1113	94147399	62	94147399	ENSG00000023909	GCLM	201	TRUE	38	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	117710579	117711920	1342	117711285	62	117711285	ENSG00000198162	MAN1A2	309	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	121163912	121164592	681	121164104	62	121164104	ENSG00000216725	AL592494.2	-201438	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	148388298	148389744	1447	148388768	62	148388768	ENSG00000023902	PLEKHO1	-771	TRUE	47	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	181258482	181260109	1628	181259546	62	181259546	ENSG00000135862	LAMC1	-328	TRUE	43	FALSE	NA	TRUE	25	TRUE	25	FALSE	NA	TRUE	202
chr1	200218184	200219076	893	200218390	62	200218390	ENSG00000176393	RNPEP	-1	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	20930359	20931779	1421	20931172	62	20931172	ENSG00000189410	SH2D5	548	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	120637338	120638447	1110	120638248	62	120638248	ENSG00000203853	AL357493.8-3	1047	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	8008314	8009417	1104	8008717	61	8008717	ENSG00000116285	ERRFI1	226	FALSE	NA	FALSE	NA	TRUE	26	TRUE	26	FALSE	NA	TRUE	53
chr1	9110744	9111983	1240	9111694	61	9111694	ENSG00000180758	GPR157	143	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	55452875	55454223	1349	55453137	61	55453137	ENSG00000162402	USP24	237	FALSE	NA	FALSE	NA	TRUE	32	TRUE	32	FALSE	NA	TRUE	41
chr1	108543929	108544849	921	108544421	61	108544421	ENSG00000085491	SLC25A24	76	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	121053315	121054541	1227	121053920	61	121053920	ENSG00000216725	AL592494.2	-91254	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	121064708	121066933	2226	121064996	61	121064996	ENSG00000216725	AL592494.2	-102330	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	152184877	152185976	1100	152185439	61	152185439	ENSG00000198837	DENND4B	357	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	164063258	164064454	1197	164063862	61	164063862	ENSG00000143179	UCK2	-348	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	29435281	29436036	756	29435626	61	29435626	ENSG00000060656	PTPRU	8	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	199704230	199705217	988	199704618	61	199704618	ENSG00000174307	PHLDA3	370	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	1540270	1542036	1767	1541226	60	1541226	ENSG00000197530	MIB2	-490	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	19154538	19156107	1570	19155521	60	19155521	ENSG00000169991	IFFO2	-591	FALSE	NA	FALSE	NA	TRUE	29	FALSE	NA	TRUE	29	TRUE	21
chr1	22251134	22252616	1483	22252088	60	22252088	ENSG00000070831	CDC42	-16931	FALSE	NA	TRUE	43	TRUE	22	TRUE	22	FALSE	NA	FALSE	NA
chr1	45443906	45445275	1370	45444750	60	45444750	ENSG00000162415	ZSWIM5	87	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	56883129	56884181	1053	56883496	60	56883496	ENSG00000162409	PRKAA2	82	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	227760267	227761787	1521	227760821	60	227760821	ENSG00000135776	ABCB10	244	FALSE	NA	FALSE	NA	TRUE	20	FALSE	NA	TRUE	20	FALSE	NA
chr1	241484556	241485214	659	241484804	60	241484804	ENSG00000143702	CEP170	527	FALSE	NA	FALSE	NA	TRUE	28	FALSE	NA	TRUE	28	FALSE	NA
chr1	41479462	41481287	1826	41479985	60	41479985	ENSG00000010803	SCMH1	390	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	174442081	174443476	1396	174442510	60	174442510	ENSG00000143207	RFWD2	483	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	2447031	2448301	1271	2447723	59	2447723	ENSG00000157881	PANK4	172	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	24701514	24702547	1034	24702122	59	24702122	ENSG00000117602	RCAN3	-148	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	42572720	42573836	1117	42573361	59	42573361	ENSG00000198815	FOXJ3	774	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	44268242	44269704	1463	44268658	59	44268658	ENSG00000196517	SLC6A9	1063	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	121168813	121170182	1370	121169701	59	121169701	ENSG00000216725	AL592494.2	-207035	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	226336229	226337786	1558	226337168	59	226337168	ENSG00000143761	ARF1	-184	FALSE	NA	FALSE	NA	TRUE	20	TRUE	20	FALSE	NA	TRUE	143
chr1	233733668	233734631	964	233734057	59	233734057	ENSG00000162885	B3GALNT2	347	TRUE	55	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	17210389	17211265	877	17210921	59	17210921	ENSG00000159363	ATP13A2	89	TRUE	20	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	119991953	119992839	887	119992275	59	119992275	ENSG00000143067	ZNF697	-25014	TRUE	22	FALSE	NA	TRUE	38	TRUE	38	FALSE	NA	TRUE	181
chr1	239869426	239870597	1172	239870129	59	239870129	ENSG00000054277	OPN3	195	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	9274947	9276829	1883	9275689	58	9275689	ENSG00000171621	SPSB1	-118	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	19998624	19999418	795	19999066	58	19999066	ENSG00000162542	TMCO4	-69	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	23942134	23943228	1095	23942353	58	23942353	ENSG00000011007	TCEB3	196	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	27353806	27354333	528	27354101	58	27354101	ENSG00000090020	SLC9A1	11958	TRUE	26	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	41217416	41218857	1442	41218325	58	41218325	ENSG00000171793	CTPS	-374	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	65204163	65205078	916	65204719	58	65204719	ENSG00000162434	JAK1	56	FALSE	NA	FALSE	NA	TRUE	22	TRUE	22	FALSE	NA	FALSE	NA
chr1	82038793	82039519	727	82039251	58	82039251	ENSG00000215875	AL358939.9	-78639	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	87566381	87567277	897	87566904	58	87566904	ENSG00000143013	LMO4	-165	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	148787812	148788840	1029	148788405	58	148788405	ENSG00000143382	ADAMTSL4	103	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	225124583	225125594	1012	225125034	58	225125034	ENSG00000143801	PSEN2	-138	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	26363138	26364016	879	26363519	58	26363519	ENSG00000197245	GRRP1	-5421	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	179324556	179325905	1350	179325286	58	179325286	ENSG00000162783	IER5	-815	FALSE	NA	FALSE	NA	TRUE	23	TRUE	76	TRUE	23	FALSE	NA
chr1	1156743	1158957	2215	1158071	57	1158071	ENSG00000176022	B3GALT6	-579	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	1499282	1500374	1093	1499964	57	1499964	ENSG00000160075	SSU72	161	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	3360666	3361625	960	3361064	57	3361064	ENSG00000130762	ARHGEF16	36	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	9571083	9572191	1109	9571329	57	9571329	ENSG00000188807	TMEM201	235	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	15352472	15353515	1044	15353008	57	15353008	ENSG00000171729	TMEM51	-1359	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	17112863	17113935	1073	17113196	57	17113196	ENSG00000058453	CROCC	7836	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	43605884	43606730	847	43606373	57	43606373	ENSG00000066322	ELOVL1	-87	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	44593096	44593689	594	44593384	57	44593384	ENSG00000117419	ERI3	142	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	64011996	64013496	1501	64012878	57	64012878	ENSG00000185483	ROR1	-597	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	65304784	65306001	1218	65305579	57	65305579	ENSG00000199135	hsa-mir-101-1	-8800	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	67291665	67292821	1157	67291930	57	67291930	ENSG00000116704	SLC35D1	738	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	142325951	142328904	2954	142326302	57	142326302	ENSG00000222289	BX004987.9-1	-46316	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	146398639	146399177	539	146398983	57	146398983	ENSG00000198161	PPIAL4A	23391	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	159368762	159369260	499	159369065	57	159369065	ENSG00000158796	DEDD	37	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	176960529	176962019	1491	176961244	57	176961244	ENSG00000116191	RALGPS2	-321	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	208472309	208474315	2007	208472915	57	208472915	ENSG00000082497	SERTAD4	-97	TRUE	50	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	227827476	227828998	1523	227828413	57	227828413	ENSG00000135801	TAF5L	4	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	10192992	10194109	1118	10193341	57	10193341	ENSG00000054523	KIF1B	77	FALSE	NA	FALSE	NA	TRUE	22	FALSE	NA	TRUE	22	FALSE	NA
chr1	12212426	12213335	910	12212735	57	12212735	ENSG00000048707	VPS13D	-35	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	65492355	65493293	939	65492729	57	65492729	ENSG00000116675	DNAJC6	10453	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	200379720	200380800	1081	200380381	57	200380381	ENSG00000143862	ARL8A	108	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	222099704	222100830	1127	222100044	57	222100044	ENSG00000143514	TP53BP2	253	FALSE	NA	FALSE	NA	TRUE	36	TRUE	36	FALSE	NA	TRUE	142
chr1	224562849	224564129	1281	224563657	57	224563657	ENSG00000183814	LIN9	536	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	1232381	1234955	2575	1233011	56	1233011	ENSG00000131584	ACAP3	121	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	6595570	6598372	2803	6597297	56	6597297	ENSG00000116273	PHF13	-965	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	13899022	13900038	1017	13899415	56	13899415	ENSG00000116731	PRDM2	-93	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	21543838	21545082	1245	21544384	56	21544384	ENSG00000117298	ECE1	200	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	26894346	26896812	2467	26896409	56	26896409	ENSG00000117713	ARID1A	-1300	FALSE	NA	FALSE	NA	TRUE	31	FALSE	NA	TRUE	31	TRUE	54
chr1	28717162	28717982	821	28717564	56	28717564	ENSG00000209791	AL513497.21-1	-989	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	38045894	38047085	1192	38046297	56	38046297	ENSG00000196449	YRDC	155	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	51756794	51757918	1125	51757106	56	51757106	ENSG00000085832	EPS15	477	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	52380037	52381081	1045	52380413	56	52380413	ENSG00000157077	ZFYVE9	221	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	93919075	93920212	1138	93919923	56	93919923	ENSG00000211575	hsa-mir-760	165053	FALSE	NA	FALSE	NA	TRUE	24	TRUE	24	FALSE	NA	TRUE	84
chr1	94485327	94486144	818	94485949	56	94485949	ENSG00000137962	ARHGAP29	-10054	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	121062671	121063923	1253	121062869	56	121062869	ENSG00000216725	AL592494.2	-100203	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	149213089	149214654	1566	149213757	56	149213757	ENSG00000143418	LASS2	307	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	150232280	150233236	957	150232827	56	150232827	ENSG00000197747	S100A10	511	FALSE	NA	FALSE	NA	TRUE	31	TRUE	31	FALSE	NA	TRUE	70
chr1	166291935	166292474	540	166292219	56	166292219	ENSG00000187615	AL033531.10	65	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	226741413	226742465	1053	226741907	56	226741907	ENSG00000168159	RNF187	-190	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
